year,region,total_cases,crime_rate_per_100k,cleared_cases,clearance_rate_pct,total_suspects,non_german_abs,non_german_pct,Afghanistan_foreigners,Eritrea_foreigners,Iran_foreigners,Iraq_foreigners,Nigeria_foreigners,Pakistan_foreigners,Somalia_foreigners,Syrian_foreigners,Turkey_foreigners,Yemen_foreigners,foreigners_total,Afghanistan_protection,Eritrea_protection,Iran_protection,Iraq_protection,Nigeria_protection,Pakistan_protection,Somalia_protection,Syrian_protection,Turkey_protection,Yemen_protection,Foreigners,Germans,population_total,foreigners_share_pct,ilo_unemployment_rate_pct
2019,Sachsen-Anhalt,173347,7873.85444450097,95384,55.0,62209,12063,19.4,5935.0,1710.0,1955.0,1670.0,775.0,710.0,1130.0,23395.0,3200.0,165.0,40645.0,4840.0,1485.0,1405.0,1150.0,300.0,15.0,940.0,16920.0,960.0,0.0,109899,2091654,2201553,5.254167276232112,7.1
2020,Sachsen-Anhalt,177904,8131.888123459306,96301,54.1,62073,11662,18.8,5995.0,1660.0,1945.0,1840.0,850.0,755.0,1140.0,23780.0,3265.0,160.0,41390.0,5145.0,1480.0,1365.0,1325.0,310.0,20.0,950.0,17795.0,920.0,10.0,113140,2074594,2187734,5.453597185762612,7.7
2010,Schleswig-Holstein,221510,7822.0,110648,50.0,78954,11307,14.320997036248956,1615.0,19.0,1324.0,2778.0,326.0,1009.0,59.0,875.0,31624.0,80.0,39709.0,1165.0,0.0,530.0,1545.0,5.0,145.0,10.0,470.0,1455.0,5.0,144487,2687675,2832162,5.3759104058340395,7.5
2011,Schleswig-Holstein,219693,7751.0,105892,48.2,75355,11256,14.93729679516953,2058.0,21.0,1457.0,2827.0,346.0,1018.0,58.0,981.0,30770.0,109.0,39645.0,1600.0,0.0,660.0,1595.0,0.0,140.0,15.0,550.0,1345.0,25.0,118070,2683132,2801202,4.400454394342135,7.2
2012,Schleswig-Holstein,211928,7468.0,102019,48.1,72920,11802,16.1848601206802,2569.0,22.0,1694.0,2859.0,365.0,1060.0,56.0,1343.0,29956.0,113.0,40037.0,2025.0,0.0,925.0,1685.0,5.0,160.0,5.0,905.0,1225.0,40.0,123474,2680925,2804399,4.605649169596314,6.9
2013,Schleswig-Holstein,199964,7125.0,101014,50.5,71070,13248,18.6,3055.0,54.0,1920.0,2915.0,386.0,1118.0,73.0,2063.0,29312.0,193.0,41089.0,2515.0,0.0,1170.0,1700.0,0.0,160.0,10.0,1455.0,1185.0,90.0,131314,2679930,2811244,4.899904101972813,6.9
2014,Schleswig-Holstein,202301,7184.1,103647,51.2,74749,17560,23.5,3888.0,579.0,2145.0,3168.0,425.0,1149.0,209.0,5148.0,28847.0,310.0,45868.0,3195.0,390.0,1325.0,1875.0,10.0,175.0,125.0,3900.0,1200.0,210.0,143308,2680102,2823410,5.347109923428287,6.8
2015,Schleswig-Holstein,202598,7156.754969507542,105575,52.1,78430,24751,31.6,5967.0,1271.0,2407.0,4880.0,480.0,1155.0,516.0,12466.0,28226.0,584.0,57952.0,4495.0,980.0,1550.0,2860.0,0.0,155.0,335.0,8680.0,1120.0,440.0,165271,2679519,2844790,6.167935364518781,6.5
2016,Schleswig-Holstein,206541,7224.961993399829,112535,54.48555008448685,83483,30795,36.88774960171532,12930.0,2375.0,3630.0,10105.0,480.0,1190.0,805.0,26615.0,27990.0,1035.0,87155.0,10510.0,1965.0,2495.0,6980.0,0.0,180.0,620.0,19800.0,1195.0,835.0,195206,2675115,2870321,7.29710685335023,6.3
2017,Schleswig-Holstein,188979,6557.38558172555,101798,53.9,72741,21055,28.9,13465.0,2625.0,3870.0,10700.0,570.0,1185.0,940.0,29595.0,27880.0,1460.0,92290.0,11165.0,2190.0,2635.0,7630.0,0.0,170.0,745.0,21600.0,1295.0,1185.0,216816,2669058,2885874,8.123315416899896,6.0
2018,Schleswig-Holstein,186894,6467.320986317146,101782,54.5,71167,20853,29.3,14220.0,2860.0,4615.0,11165.0,765.0,1260.0,1080.0,31595.0,27930.0,1845.0,97335.0,12080.0,2345.0,3330.0,8180.0,150.0,165.0,905.0,23470.0,1475.0,1365.0,228086,2665182,2893268,8.557989660743619,5.5
2019,Schleswig-Holstein,183445,6325.1596504155,100417,54.7,70278,19639,27.9,14780.0,2985.0,5065.0,11500.0,970.0,1275.0,1205.0,33495.0,27955.0,2165.0,101395.0,12530.0,2490.0,3715.0,8475.0,300.0,155.0,975.0,24965.0,1685.0,1545.0,238562,2661681,2900243,8.962832135030457,5.1
2020,Schleswig-Holstein,173929,5982.442961293616,97121,55.8,67361,18051,26.8,15445.0,3095.0,5075.0,12010.0,1005.0,1255.0,1260.0,34660.0,27905.0,2235.0,103945.0,12645.0,2530.0,3580.0,8770.0,325.0,155.0,1030.0,26025.0,1745.0,1560.0,247484,2659841,2907325,9.304465943640992,5.8
2010,Thuringen,138050,6136.0,90082,65.3,58625,3538,6.03496801705757,432.0,5.0,306.0,667.0,58.0,305.0,38.0,408.0,1880.0,46.0,4145.0,310.0,0.0,110.0,435.0,0.0,0.0,15.0,100.0,365.0,0.0,48051,2193508,2241559,2.190600626940955,9.8
2011,Thuringen,136791,6128.0,89187,65.1,58356,3513,6.0199465350606625,714.0,8.0,344.0,709.0,62.0,321.0,17.0,540.0,1928.0,46.0,4689.0,565.0,0.0,110.0,480.0,0.0,0.0,0.0,205.0,300.0,0.0,33532,2154942,2188474,1.5560511605416758,8.8
2012,Thuringen,140087,6307.0,90121,64.3,58763,3845,6.54323298674336,943.0,11.0,343.0,788.0,72.0,331.0,8.0,752.0,2060.0,45.0,5353.0,820.0,0.0,70.0,555.0,0.0,0.0,0.0,345.0,360.0,0.0,36939,2139094,2176033,1.7268525833834325,8.5
2013,Thuringen,142310,6556.7,91858,64.5,59479,4141,7.0,1098.0,11.0,342.0,728.0,79.0,362.0,7.0,971.0,2048.0,45.0,5691.0,970.0,0.0,45.0,480.0,0.0,0.0,0.0,550.0,320.0,0.0,41714,2123937,2165651,1.9639942239341375,8.2
2014,Thuringen,142060,6574.3,90778,63.9,57138,4811,8.4,1240.0,632.0,373.0,786.0,98.0,377.0,209.0,2474.0,2033.0,44.0,8266.0,1045.0,590.0,40.0,505.0,0.0,0.0,160.0,1550.0,325.0,0.0,49181,2109620,2158801,2.3312729306699786,7.8
2015,Thuringen,140240,6502.349126629355,90168,64.3,58308,8398,14.4,3029.0,1023.0,400.0,2018.0,124.0,412.0,366.0,8254.0,2076.0,51.0,17753.0,2240.0,855.0,45.0,1355.0,0.0,5.0,285.0,5310.0,285.0,0.0,68699,2095038,2163737,3.2791290659167043,7.4
2016,Thuringen,149226,6874.512257257289,95199,63.795183145028346,60003,10302,17.16914154292285,6965.0,1490.0,420.0,4085.0,85.0,420.0,625.0,13395.0,2015.0,15.0,29515.0,5715.0,1230.0,60.0,3175.0,0.0,15.0,515.0,9700.0,250.0,0.0,85624,2078798,2164422,4.11891872129952,6.7
2017,Thuringen,143237,6637.09474136845,92330,64.5,57837,9446,16.3,7065.0,1800.0,615.0,4590.0,200.0,465.0,795.0,15200.0,2220.0,25.0,32975.0,5925.0,1500.0,200.0,3635.0,45.0,15.0,645.0,10635.0,375.0,0.0,92671,2061997,2154668,4.4942354426315845,6.1
2018,Thuringen,143158,6654.7818548209025,94688,66.1,57692,10066,17.4,7260.0,1875.0,920.0,4580.0,425.0,460.0,860.0,16205.0,2530.0,20.0,35135.0,6260.0,1605.0,505.0,3745.0,255.0,10.0,735.0,11115.0,595.0,0.0,101559,2045617,2147176,4.9647123581784856,5.5
2019,Thuringen,129301,6047.013883237882,79046,61.1,48816,8514,17.4,7430.0,1880.0,1215.0,4560.0,675.0,525.0,890.0,16545.0,2935.0,35.0,36690.0,5865.0,1575.0,655.0,3440.0,390.0,20.0,745.0,11110.0,810.0,0.0,108386,2029876,2138262,5.339537981630405,5.3
2020,Thuringen,141933,6673.522010449462,90193,63.5,53108,10185,19.2,7655.0,1855.0,1320.0,4365.0,675.0,555.0,900.0,16505.0,3040.0,35.0,36905.0,6215.0,1540.0,750.0,3560.0,405.0,15.0,740.0,11935.0,875.0,0.0,112592,2014216,2126808,5.589867223773418,6.0
